Year,Playlist,Song,Artist,Popularity,Explicit,Duration (ms),Album,Release Date,Artist Popularity,Artist Followers,Genres
2023,2023,Kill Bill,SZA,85,False,153946,SOS,2022-12-08,93,29649902,r&b
2023,2023,Cruel Summer,Taylor Swift,91,False,178426,Lover,2019-08-23,98,137087401,unknown
2023,2023,Die For You - Remix,The Weeknd,76,False,232857,Die For You (Remix),2023-02-24,97,104637000,unknown
2023,2023,Flowers,Miley Cyrus,22,False,200454,Flowers,2023-01-13,85,25922019,unknown
2023,2023,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,84,True,221520,HEROES & VILLAINS,2022-12-02,88,10941344,unknown
2023,2023,Here With Me,d4vd,13,False,242484,Here With Me,2022-09-22,84,3926070,unknown
2023,2023,vampire,Olivia Rodrigo,12,True,219724,vampire,2023-06-30,88,45636386,unknown
2023,2023,Daylight,David Kushner,67,False,212953,Daylight,2023-04-14,74,2639842,unknown
2023,2023,My Love Mine All Mine,Mitski,89,False,137773,The Land Is Inhospitable and So Are We,2023-09-15,83,10356163,unknown
2023,2023,greedy,Tate McRae,90,True,131872,greedy,2023-09-15,90,7658309,unknown
2023,2023,Seven (feat. Latto),Jung Kook,81,True,184400,Seven (feat. Latto),2023-07-14,83,17567458,k-pop
2023,2023,Water,Tyla,87,False,200255,Water,2023-07-28,80,2926225,afrobeats
2023,2023,Nonsense,Sabrina Carpenter,88,False,163648,emails i can't send,2022-07-15,92,22222141,unknown
2023,2023,Paint The Town Red,Doja Cat,81,True,231750,Paint The Town Red,2023-08-04,87,33220529,unknown
2023,2023,Karma,Taylor Swift,78,True,204852,Midnights,2022-10-21,98,137087401,unknown
2023,2023,Lovin On Me,Jack Harlow,83,True,138411,Lovin On Me,2023-11-10,81,4191926,unknown
2023,2023,I KNOW ?,Travis Scott,83,True,211582,UTOPIA,2023-07-28,94,38553514,rap
2023,2023,Snooze,SZA,90,True,201800,SOS,2022-12-09,93,29649902,r&b
2023,2023,"What Was I Made For? [From The Motion Picture ""Barbie""]",Billie Eilish,88,False,222369,"What Was I Made For? [From The Motion Picture ""Barbie""]",2023-07-13,95,111496286,unknown
2023,2023,Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,82,False,176440,Until I Found You (Em Beihold Version),2022-04-22,74,1762010,unknown
2023,2023,Last Night,Morgan Wallen,80,True,163854,3 Songs At A Time Sampler,2023-01-31,92,12528620,country
2023,2023,Ella Baila Sola,Eslabon Armado,79,False,165671,Ella Baila Sola,2023-03-16,80,6248210,"corridos tumbados, sad sierreño, corrido, sierreño, música mexicana, corridos bélicos"
2023,2023,"Shakira: Bzrp Music Sessions, Vol. 53",Bizarrap,80,False,214945,"Shakira: Bzrp Music Sessions, Vol. 53",2023-01-11,81,17822610,"argentine trap, trap latino, urbano latino"
2023,2023,Boy's a liar Pt. 2,PinkPantheress,75,True,131013,Boy's a liar Pt. 2,2023-02-03,79,4122775,bedroom pop
2023,2023,I'm Good (Blue),David Guetta,88,True,175238,I'm Good (Blue),2022-08-26,90,27092273,"edm, dance"
2023,2023,Rich Flex,Drake,78,True,239359,Her Loss,2022-11-04,98,98426468,rap
2023,2023,Popular (with Playboi Carti & Madonna) - From The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd,85,True,215466,Popular (Music from the HBO Original Series),2023-06-02,97,104637000,unknown
2023,2023,La Bachata,Manuel Turizo,81,False,162637,La Bachata,2022-05-26,84,15024987,"reggaeton, pop urbano, latin, colombian pop"
2023,2023,golden hour,JVKE,79,False,209259,this is what ____ feels like (Vol. 1-4),2022-09-23,76,5405344,unknown
2023,2023,Calm Down (with Selena Gomez),Rema,83,False,239317,Calm Down (with Selena Gomez),2022-08-25,79,7223521,"afrobeats, afrobeat, afropop, afropiano"
2023,2023,Feather,Sabrina Carpenter,87,True,185552,emails i can’t send fwd:,2023-03-17,92,22222141,unknown
2023,2023,bad idea right?,Olivia Rodrigo,6,True,184783,bad idea right?,2023-08-11,88,45636386,unknown
2023,2023,Cupid - Twin Ver.,FIFTY FIFTY,14,False,174253,The Beginning: Cupid,2023-02-24,68,1890409,k-pop
2023,2023,Moonlight,Kali Uchis,78,False,187557,Moonlight,2023-02-24,87,8809239,unknown
2023,2023,TQG,KAROL G,83,True,197933,MAÑANA SERÁ BONITO,2023-02-24,89,56611098,"reggaeton, latin, urbano latino"
2023,2023,MONACO,Bad Bunny,81,True,267194,nadie sabe lo que va a pasar mañana,2023-10-13,100,95183342,"reggaeton, trap latino, urbano latino, latin"
2023,2023,Too Many Nights (feat. Don Toliver & with Future),Metro Boomin,85,True,199920,HEROES & VILLAINS,2022-12-02,88,10941344,unknown
2023,2023,Escapism.,RAYE,5,True,272373,Escapism. (Sped Up),2022-11-25,80,2304024,unknown
2023,2023,Dance The Night - From Barbie The Album,Dua Lipa,84,False,176579,Dance The Night (From Barbie The Album),2023-05-25,89,45999715,pop
2023,2023,Chemical,Post Malone,78,True,184013,Chemical,2023-04-14,90,46958436,unknown
2023,2023,I Remember Everything (feat. Kacey Musgraves),Zach Bryan,88,False,227195,Zach Bryan,2023-08-25,89,6555628,"country, red dirt"
2023,2023,Is It Over Now? (Taylor's Version) (From The Vault),Taylor Swift,78,False,229477,1989 (Taylor's Version),2023-10-26,98,137087401,unknown
2023,2023,On My Mama,Victoria Monét,67,True,184258,JAGUAR II,2023-08-25,68,1216313,alternative r&b
2023,2023,Barbie World (with Aqua) [From Barbie The Album],Nicki Minaj,73,True,109750,Barbie World (with Aqua) [From Barbie The Album],2023-06-23,87,33861595,unknown
2023,2023,See You Again (feat. Kali Uchis),"Tyler, The Creator",93,True,180386,Flower Boy,2017-07-21,90,21859138,unknown
2023,2023,Sprinter,Dave,83,True,229133,Sprinter,2023-06-01,78,6099668,"grime, uk drill, drill"
2023,2023,fukumean,Gunna,83,True,125040,a Gift & a Curse,2023-06-16,87,9444405,melodic rap
2023,2023,La Bebe - Remix,Yng Lvcas,81,True,234352,La Bebe (Remix),2023-03-17,73,424921,"reggaeton mexa, reggaeton, electro corridos"
2023,2023,K-POP,Travis Scott,72,True,185220,K-POP,2023-07-21,94,38553514,rap
2023,2023,Houdini,Dua Lipa,24,False,185917,Houdini,2023-11-09,89,45999715,pop
2023,2023,get him back!,Olivia Rodrigo,79,True,211141,GUTS,2023-09-08,88,45636386,unknown
2023,2023,Made You Look,Meghan Trainor,80,False,134256,Takin' It Back,2022-10-21,78,15729495,unknown
2023,2023,Super Shy,NewJeans,80,False,154666,NewJeans 'Super Shy',2023-07-07,79,10694829,k-pop
2023,2023,Romantic Homicide,d4vd,88,False,132630,Romantic Homicide,2022-07-20,84,3926070,unknown
2023,2023,I Wanna Be Yours,Arctic Monkeys,94,False,183956,AM,2013-09-09,88,30122533,"indie, garage rock"
2023,2023,TELEKINESIS (feat. SZA & Future),Travis Scott,81,True,353754,UTOPIA,2023-07-28,94,38553514,rap
2023,2023,Say Yes To Heaven,Lana Del Rey,87,False,209156,Say Yes To Heaven,2023-05-19,92,47307281,unknown
2023,2023,Nobody Gets Me,SZA,86,True,180853,SOS,2022-12-09,93,29649902,r&b
2023,2023,All Of The Girls You Loved Before,Taylor Swift,76,False,221407,All Of The Girls You Loved Before,2019-08-23,98,137087401,unknown
2023,2023,Forget Me,Lewis Capaldi,74,False,203666,Broken By Desire To Be Heavenly Sent,2023-05-19,80,13454117,soft pop
2023,2023,Single Soon,Selena Gomez,72,False,171655,Single Soon,2023-08-25,88,52504806,pop
2023,2023,As It Was,Harry Styles,90,False,167303,Harry's House,2022-05-20,85,33683053,unknown
2023,2023,Strangers,Kenya Grace,80,False,172964,Strangers,2023-09-01,65,560091,unknown
2023,2023,Like Crazy,Jimin,78,False,212241,FACE,2023-03-24,83,10155871,k-pop
2023,2023,exes,Tate McRae,6,True,159400,exes,2023-11-17,90,7658309,unknown
2023,2023,Standing Next to You,Jung Kook,85,False,206019,GOLDEN,2023-11-03,83,17567458,k-pop
2023,2023,Ditto,NewJeans,80,False,185506,Ditto,2022-12-19,79,10694829,k-pop
2023,2023,Used To Be Young,Miley Cyrus,61,False,191185,Used To Be Young,2023-08-25,85,25922019,unknown
2023,2023,Eyes Closed,Ed Sheeran,8,False,194848,Eyes Closed,2023-03-24,90,120341520,soft pop
2023,2023,Anti-Hero,Taylor Swift,84,False,200690,Midnights,2022-10-21,98,137087401,unknown
2023,2023,Can’t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & Snakes,Olivia Rodrigo,75,False,205483,Can’t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & Snakes),2023-11-03,88,45636386,unknown
2023,2023,un x100to,Grupo Frontera,79,False,194563,un x100to,2023-04-17,86,6516038,"cumbia norteña, banda, norteño, música mexicana, corrido, corridos tumbados, grupera, corridos bélicos, tejano"
2023,2023,LALA,Myke Towers,84,True,197920,LA VIDA ES UNA,2023-03-23,89,19971141,"reggaeton, trap latino, urbano latino"
2023,2023,(It Goes Like) Nanana - Edit,Peggy Gou,80,False,231545,(It Goes Like) Nanana [Edit],2023-06-15,69,1028629,unknown
2023,2023,Rush,Troye Sivan,31,True,156391,Rush,2023-07-13,78,9209204,unknown
2023,2023,"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,73,True,188361,"Peso Pluma: Bzrp Music Sessions, Vol. 55",2023-06-01,81,17822610,"argentine trap, trap latino, urbano latino"
2023,2023,BESO,ROSALÍA,79,False,194543,RR,2023-03-24,78,8480270,latin
2023,2023,All My Life (feat. J. Cole),Lil Durk,68,True,223878,Almost Healed,2023-05-26,83,8904709,drill
2023,2023,In Ha Mood,Ice Spice,66,True,129360,In Ha Mood,2023-01-06,73,4574120,unknown
2023,2023,Double Fantasy (with Future),The Weeknd,72,True,268235,Double Fantasy,2023-04-21,97,104637000,unknown
2023,2023,LET GO,Central Cee,75,True,174246,LET GO,2022-12-15,83,8367119,"uk drill, drill, grime"
2023,2023,Tattoo,Loreen,83,False,183374,Tattoo,2023-02-25,70,1197017,europop
2023,2023,Never Felt So Alone,Labrinth,72,False,160166,Never Felt So Alone,2023-04-07,77,3515606,unknown
2023,2023,Heaven,Niall Horan,9,False,186043,Heaven,2023-02-17,75,10236639,unknown
2023,2023,Yandel 150,Yandel,74,True,216148,Resistencia,2023-01-13,80,8519076,"reggaeton, urbano latino, latin"
2023,2023,La Jumpa,Arcángel,72,True,255693,Sr. Santos,2022-12-01,84,16959807,"reggaeton, trap latino, urbano latino"
2023,2023,Columbia,Quevedo,84,False,186000,Columbia,2023-07-07,84,5901422,unknown
2023,2023,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,0,False,219453,METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE / DELUXE EDITION),2023-06-05,88,10941344,unknown
2023,2023,Players,Coi Leray,72,True,139560,Players,2022-11-30,71,882871,unknown
2023,2023,Baby Don't Hurt Me,David Guetta,83,False,140017,Baby Don't Hurt Me,2023-04-06,90,27092273,"edm, dance"
2023,2023,DOGTOOTH,"Tyler, The Creator",73,True,161041,CALL ME IF YOU GET LOST: The Estate Sale,2023-03-31,90,21859138,unknown
2023,2023,Mona Lisa (Spider-Man: Across the Spider-Verse),Dominic Fike,67,False,186066,Mona Lisa (Spider-Man: Across the Spider-Verse),2023-06-02,79,2101659,unknown
2023,2023,Fast Car,Luke Combs,85,False,265493,Gettin' Old,2023-03-24,86,12679441,country
2023,2023,3D (feat. Jack Harlow),Jung Kook,78,True,201812,3D (feat. Jack Harlow),2023-09-29,83,17567458,k-pop
2023,2023,Slime You Out (feat. SZA),Drake,70,True,310490,Slime You Out,2023-09-15,98,98426468,rap
2023,2023,Agora Hills,Doja Cat,79,True,265360,Scarlet,2023-09-22,87,33220529,unknown
2023,2023,What It Is (Solo Version),Doechii,79,True,189824,What It Is (Versions),2023-03-17,87,2870014,unknown
2023,2023,QLONA,KAROL G,74,True,172797,MAÑANA SERÁ BONITO (BICHOTA SEASON),2023-08-11,89,56611098,"reggaeton, latin, urbano latino"
2023,2023,LOVE AGAIN,The Kid LAROI,67,False,146640,LOVE AGAIN,2023-01-27,82,6261444,unknown
2023,2023,Attention,Doja Cat,64,True,277043,Attention,2023-06-16,87,33220529,unknown
